ACEN Colleges of Nursing,Program Type,State/Country,Status
Pensacola State College,"5555 Highway 98 West, Building 3100, Room 3156 Pensacola, Florida 32507 ",Associate,Florida,Accredited
Pensacola State College,"5555 Highway 98 West, Building 3100, Room 3156 Pensacola, Florida 32507 ",Practical,Florida,Accredited
Pensacola State College,"5555 West Highway 98, Bldg. 3100, Room 3156 Pensacola, Florida 32507-1097 ",Baccalaureate,Florida,Accredited
Polk State College,"999 Avenue H NE Winter Haven, Florida 33881-4299 United States",Associate,Florida,Accredited
Polk State College,"999 Avenue H NE Winter Haven, Florida 33881-4299 United States",Baccalaureate,Florida,Accredited
Premiere International College,"2055 Central Avenue Fort Myers, Florida 33901 ",Associate,Florida,Accredited
Rasmussen University – Central Pasco,"16418 State Road 54 Odessa, Florida 33556 ",Practical,Florida,Accredited
Rasmussen University – Central Pasco,"16418 State Road 54 Odessa, Florida 33556 ",Associate,Florida,Accredited
Rasmussen University – Fort Myers,"9160 Forum Corporate Parkway, Suite 100 Fort Myers, Florida 33905 United States",Associate,Florida,Accredited
Rasmussen University – Ocala,"1227 Southwest 17th Avenue Ocala, Florida 34471 United States",Associate,Florida,Accredited
Rasmussen University – Tampa/Brandon,"330 Brandon Town Center Drive Brandon, Florida 33511 United States",Associate,Florida,Accredited
Saint Petersburg College,"7200 66th Street North Pinellas Park, Florida 33781 ",Associate,Florida,Accredited
Santa Fe College,"3000 NW 83rd Street Gainesville, Florida 32606-6200 ",Associate,Florida,Accredited
Seminole State College of Florida,"850 South State Road 434 Altamonte Springs, Florida 32714 ",Associate,Florida,Accredited
Seminole State College of Florida,"850 South State Road 434 Altamonte Springs, Florida 32714 United States",Baccalaureate,Florida,Accredited
South Florida College of Nursing,"7955 Northwest 12th Street, Suite 308/302 Doral, Florida 33126 USA",Baccalaureate,Florida,Accredited
South Florida College of Nursing,"7955 Northwest 12th Street, Suite 308/302 Doral, Florida 33126 USA",Associate,Florida,Accredited
South Florida State College,"600 West College Drive Avon Park, Florida 33825-9356 ",Associate,Florida,Accredited
South Florida State College,"600 West College Drive Avon Park, Florida 33825-9356 ",Baccalaureate,Florida,Accredited
Southeastern College – Miami Lakes,"5875 NW 163rd Street Miami Lakes, Florida 33014 ",Associate,Florida,Accredited
Southern Technical College – Fort Myers,"1685 Medical Lane Fort Myers, Florida 33907 United States",Associate,Florida,Accredited
St. Johns River State College,"5001 St. Johns Avenue Palatka, Florida 32117 ",Associate,Florida,Accredited
St. Johns River State College,"5001 St. Johns Avenue Palatka, Florida 32117 ",Baccalaureate,Florida,Accredited
"State College of Florida, Manatee – Sarasota","5840 26th Street West Bradenton, Florida 34207 United States",Associate,Florida,Accredited
"State College of Florida, Manatee – Sarasota","5840 26th Street West Bradenton, Florida 34207 ",Baccalaureate,Florida,Accredited
Tallahassee Community College,"1528 Surgeons Drive Tallahassee, Florida 32308 United States",Associate,Florida,Accredited
Tallahassee Community College,"1528 Surgeons Drive Tallahassee, Florida 32308 ",Baccalaureate,Florida,Accredited
Taylor College,"2531 East Silver Spring Blvd Belleview, Florida 34470 ",Associate,Florida,Accredited
Taylor College,"2531 East Silver Spring Blvd Belleview, Florida 34470 ",Practical,Florida,Accredited
Valencia College,"1800 South Kirkman Road MC 4-14 Orlando, Florida 32802 United States",Associate,Florida,Accredited
Abraham Baldwin Agricultural College,"ABAC 52, 2802 Moore Highway Tifton, Georgia 31793 United States",Associate,Georgia,Accredited
Abraham Baldwin Agricultural College,"ABAC 52, 2802 Moore Highway Tifton, Georgia 31793 ",Baccalaureate,Georgia,Accredited
Albany State University,"2400 Gillionville Road Albany, Georgia 31707 ",Baccalaureate,Georgia,Accredited
Albany State University,"2400 Gillionville Road Albany, Georgia 31707 United States",Master’s/Post-Master’s Certificate,Georgia,Accredited
Albany State University,"2400 Gillionville Road Albany, Georgia 31707 United States",Associate,Georgia,Accredited
Albany Technical College,"1704 South Slappey Boulevard Albany, Georgia 31701 ",Practical,Georgia,Accredited
Albany Technical College,"1704 South Slappey Boulevard Albany, Georgia 31701 United States",Associate,Georgia,Accredited
Athens Technical College,"800 US Highway 29 North Athens, Georgia 30601-1500 ",Associate,Georgia,Accredited
Atlanta Technical College,"1560 Metropolitan Parkway Southwest Atlanta, Georgia 30310 ",Associate,Georgia,Accredited
Augusta Technical College,"2260 Wrightsboro Road Augusta, Georgia 30904 ",Practical,Georgia,Accredited
Augusta Technical College,"2260 Wrightsboro Road Augusta, Georgia 30904 United States",Associate,Georgia,Accredited
Central Georgia Technical College,"80 Cohen Walker Drive Warner Robins, Georgia 31088 ",Associate,Georgia,Accredited
Central Georgia Technical College,"80 Cohen Walker Drive Warner Robins, Georgia 31088 ",Practical,Georgia,Accredited
Chattahoochee Technical College,"400 Nathan Dean Boulevard Dallas, Georgia 30132 ",Associate,Georgia,Accredited
Coastal Pines Technical College,"1777 West Cherry Street Jesup, Georgia 31545 ",Associate,Georgia,Accredited
College of Coastal Georgia,"One College Drive, Hargett Building Brunswick, Georgia 31520 ",Associate,Georgia,Accredited
College of Coastal Georgia,"One College Drive, Health and Science Building, Office 217 Brunswick, Georgia 31520 ",Baccalaureate,Georgia,Accredited
Columbus Technical College,"928 Manchester Expressway Columbus, Georgia 31904 ",Associate,Georgia,Accredited
Dalton State College,"650 College Drive Dalton, Georgia 30720-3797 ",Associate,Georgia,Accredited
Dalton State College,"650 College Drive Dalton, Georgia 30720 ",Baccalaureate,Georgia,Accredited
Georgia Highlands College,"415 East Third Avenue Rome, Georgia 30161 United States",Associate,Georgia,Accredited
Georgia Highlands College,"415 East Third Avenue Rome, Georgia 30161 ",Baccalaureate,Georgia,Accredited
Georgia Northwestern Technical College,"265 Bicentennial Trail Rock Spring, Georgia 30739 United States",Associate,Georgia,Accredited
Georgia Northwestern Technical College,"265 Bicentennial Trail Rock Spring, Georgia 30739 ",Practical,Georgia,Accredited
Georgia State University,"555 North Indian Creek Drive Clarkston, Georgia 30021-2396 ",Associate,Georgia,Accredited
Gordon State College,"419 College Drive Barnesville, Georgia 30204 ",Associate,Georgia,Accredited
Gordon State College,"419 College Drive Barnesville, Georgia 30204 United States",Baccalaureate,Georgia,Accredited
Gwinnett Technical College,"5150 Sugarloaf Parkway Lawrenceville, Georgia 30043 United States",Associate,Georgia,Accredited
LaGrange College,"601 Broad Street LaGrange, Georgia 30240-2999 ",Baccalaureate,Georgia,Accredited
Lanier Technical College,"2535 Lanier Tech Drive Gainesville, Georgia 30507 ",Associate,Georgia,Accredited
Middle Georgia State University,"100 University Parkway Macon, Georgia 31206-5145 ",Associate,Georgia,Accredited
Middle Georgia State University,"100 University Parkway Macon, Georgia 31206-5145 ",Baccalaureate,Georgia,Accredited
Middle Georgia State University,"100 University Parkway Macon, Georgia 31206-5145 United States",Master’s/Post-Master’s Certificate,Georgia,Accredited
North Georgia Technical College,"1500 Highway 197 North Clarkesville, Georgia 30523 United States",Associate,Georgia,Accredited
Oconee Fall Line Technical College,"1189 Deepstep Road Sandersville, Georgia 31082 United States",Associate,Georgia,Accredited
Oconee Fall Line Technical College,"1189 Deepstep Road Sandersville, Georgia 31082 United States",Practical,Georgia,Accredited
Piedmont University,"1021 Central Avenue, PO Box 10 Demorest, Georgia 30535 ",Baccalaureate,Georgia,Accredited
South Georgia State College,"100 West College Park Drive Douglas, Georgia 31533-5098 ",Associate,Georgia,Accredited
South Georgia State College,"100 West Collee Park Drive Douglas, Georgia 31533-5098 ",Baccalaureate,Georgia,Accredited
Southeastern Technical College,"3001 East First Street Vidalia, Georgia 30474 ",Associate,Georgia,Accredited
Southern Crescent Technical College,"501 Varsity Road Griffin, Georgia 30223 United States",Associate,Georgia,Accredited
Southern Crescent Technical College,"501 Varsity Road Griffin, Georgia 30223 United States",Practical,Georgia,Accredited
Southern Regional Technical College,"15689 US Highway 19 North Thomasville, Georgia 31792 ",Associate,Georgia,Accredited
Thomas University,"1501 Millpond Road Thomasville, Georgia 31792 ",Baccalaureate,Georgia,Accredited
Thomas University,"1501 Millpond Road Thomasville, Georgia 31792 United States",Master’s/Post-Master’s Certificate,Georgia,Accredited
University of North Georgia,"159 Sunset Drive Dahlonega, Georgia 30597 United States",Baccalaureate,Georgia,Accredited
University of North Georgia,"159 Sunset Drive Dahlonega, Georgia 30597 United States",Master’s/Post-Master’s Certificate,Georgia,Accredited
University of North Georgia,"159 Sunset Drive Dahlonega, Georgia 30597 United States",Clinical Doctorate,Georgia,Accredited
West Georgia Technical College,"176 Murphy Campus Boulevard Waco, Georgia 30182 United States",Associate,Georgia,Accredited
Wiregrass Georgia Technical College,"4089 Val Tech Road Valdosta, Georgia 31602 United States",Associate,Georgia,Accredited
Wiregrass Georgia Technical College,"4089 Val Tech Road Valdosta, Georgia 31602 United States",Practical,Georgia,Accredited
Hawaii Community College,"1175 Manono Street Hilo, Hawaii 96720 United States",Associate,Hawaii,Accredited
Kapiolani Community College,"4303 Diamond Head Road, Kopiko 201 Honolulu, Hawaii 96816 ",Associate,Hawaii,Accredited
University of Hawaii – Kauai Community College,"3-1901 Kaumuali’i Highway Lihu’e, Hawaii 96766-9591 United States",Associate,Hawaii,Accredited
University of Hawaii at Hilo,"200 West Kawili Street, UCB 239 Hilo, Hawaii 96720-4091 United States",Baccalaureate,Hawaii,Accredited
University of Hawaii Maui College,"310 W. Ka’ahumanu Avenue Kahului, Hawaii 96732 United States",Associate,Hawaii,Accredited
Carrington College – Boise,"1122 North Liberty Street Boise, Idaho 83704 ",Practical,Idaho,Accredited
Carrington College – Boise,"1122 North Liberty Street Boise, Idaho 83704 ",Associate,Idaho,Accredited
College of Eastern Idaho,"1600 South 25th East Idaho Falls, Idaho 83404-5788 ",Associate,Idaho,Accredited
College of Southern Idaho,"315 Falls Avenue Twin Falls, Idaho 83301 ",Associate,Idaho,Accredited
College of Western Idaho,"2407 Caldwell Blvd Nampa, Idaho 83651 ",Associate,Idaho,Accredited
Idaho State University,"921 South 8th Avenue, Stop 8380 Pocatello, Idaho 83209-8380 ",Associate,Idaho,Accredited
North Idaho College,"1000 West Garden Avenue Coeur d’Alene, Idaho 83814-2199 ",Associate,Idaho,Accredited
St. Luke’s Health System,"190 E Bannock Boise, Idaho 83712 United States",Transition-to-Practice,Idaho,Accredited
Ambria College of Nursing,"5210 Trillium Boulevard Hoffman Estates, Illinois 60192 ",Associate,Illinois,Accredited
Black Hawk College,"6600 34th Avenue Moline, Illinois 61265 ",Associate,Illinois,Accredited
CAAN Academy of Nursing,"4747 Lincoln Mall Drive, Suite 420 Matteson, Illinois 60443 ",Associate,Illinois,Accredited
Capital Area Career Center,"2201 Toronto Road Springfield, Illinois 62712 United States",Practical,Illinois,Accredited
Carl Sandburg College,"2400 Tom L. Wilson Boulevard Galesburg, Illinois 61401 United States",Associate,Illinois,Accredited
Carl Sandburg College,"2400 Tom L. Wilson Boulevard Galesburg, Illinois 61401 ",Practical,Illinois,Accredited
Chicago State University,"9501 South King Drive, BHS 200A Chicago, Illinois 60628-1598 United States",Baccalaureate,Illinois,Accredited
City Colleges of Chicago at Malcolm X College,"Malcolm X College, 1900 West Jackson Boulevard Chicago, Illinois 60612 United States",Associate,Illinois,Accredited
College of DuPage,"425 Fawell Boulevard Glen Ellyn, Illinois 60137-6599 ",Associate,Illinois,Accredited
College of Lake County,"19351 West Washington Street Grayslake, Illinois 60030 ",Associate,Illinois,Accredited
Danville Area Community College,"2000 East Main Street Danville, Illinois 61832 United States",Associate,Illinois,Accredited
Elgin Community College,"1700 Spartan Drive Elgin, Illinois 60123 ",Associate,Illinois,Accredited
Governors State University,"1 University Parkway University Park, Illinois 60466-0975 ",Baccalaureate,Illinois,Accredited
Governors State University,"1 University Parkway University Park, Illinois 60466-0975 ",Master’s/Post-Master’s Certificate,Illinois,Accredited
Governors State University,"1 University Parkway University Park, Illinois 60484 ",Clinical Doctorate,Illinois,Accredited
Graham Hospital Association,"210 West Walnut Street Canton, Illinois 61520 ",Diploma,Illinois,Accredited
Harper College,"1200 West Algonquin Road Palatine, Illinois 60067 ",Associate,Illinois,Accredited
Harper College,"1200 West Algonquin Road Palatine, Illinois 60067 ",Practical,Illinois,Accredited
Heartland Community College,"1500 West Raab Road Normal, Illinois 61761 United States",Associate,Illinois,Accredited
Highland Community College,"2998 West Pearl City Road Freeport, Illinois 61032 ",Associate,Illinois,Accredited
Illinois Central College,"5407 North University Street Peoria, Illinois 61635 ",Associate,Illinois,Accredited
Illinois Central College,"5407 North University Street Peoria, Illinois 61635 United States",Practical,Illinois,Accredited
Illinois Eastern Community Colleges,"305 North West Street Olney, Illinois 62450-1099 United States",Associate,Illinois,Accredited
Illinois Valley Community College,"815 North Orlando Smith Road Oglesby, Illinois 61348-9692 United States",Associate,Illinois,Accredited
John A. Logan College,"700 Logan College Road Carterville, Illinois 62918 ",Associate,Illinois,Accredited
Joliet Junior College,"1215 Houbolt Road Joliet, Illinois 60431-8938 United States",Associate,Illinois,Accredited
Kankakee Community College,"100 College Drive Kankakee, Illinois 60901 United States",Associate,Illinois,Accredited
Kankakee Community College,"100 College Drive Kankakee, Illinois 60901 ",Practical,Illinois,Accredited
Kaskaskia College,"27210 College Road Centralia, Illinois 62801 ",Associate,Illinois,Accredited
Kishwaukee College,"21193 Malta Road Malta, Illinois 60150 ",Associate,Illinois,Accredited
Lake Land College,"5001 Lake Land Boulevard Mattoon, Illinois 61938 United States",Associate,Illinois,Accredited
Lake Land College,"5001 Lake Land Boulevard Mattoon, Illinois 61938 United States",Practical,Illinois,Accredited
Lewis & Clark Community College,"5800 Godfrey Road Godfrey, Illinois 62035 ",Associate,Illinois,Accredited
Lincoln Land Community College,"5250 Sheperd Road, PO Box 19256 Springfield, Illinois 62794-9256 United States",Associate,Illinois,Accredited
Lincoln Land Community College,"5250 Sheperd Road, PO Box 19256 Springfield, Illinois 62794-9256 United States",Practical,Illinois,Accredited
McHenry County College,"8900 US Highway 14 Crystal Lake, Illinois 60012 ",Associate,Illinois,Accredited
Moraine Valley Community College,"9000 West College Parkway Palos Hills, Illinois 60465-0937 ",Associate,Illinois,Accredited
Morton College,"3801 South Central Avenue Cicero, Illinois 60804 United States",Associate,Illinois,Accredited
Oakton Community College,"1600 E. Golf Road Des Plaines, Illinois 60016 ",Associate,Illinois,Accredited
Parkland College,"2400 West Bradley Avenue Champaign, Illinois 61821-1899 ",Associate,Illinois,Accredited
Prairie State College,"202 South Halsted Street Chicago Heights, Illinois 60411 United States",Associate,Illinois,Accredited
Rend Lake College,"468 North Ken Gray Parkway Ina, Illinois 62846 United States",Associate,Illinois,Accredited
Richland Community College,"One College Park Decatur, Illinois 62521 United States",Associate,Illinois,Accredited
Rock Valley College,"3301 North Mulford Road Rockford, Illinois 61114 ",Associate,Illinois,Accredited
Rockford University,"5050 East State Street Rockford, Illinois 61108-2393 United States",Baccalaureate,Illinois,Accredited
Sauk Valley Community College,"173 IL Route 2 Dixon, Illinois 61021 United States",Associate,Illinois,Accredited
Sauk Valley Community College,"173 IL Route 2 Dixon, Illinois 61021 United States",Practical,Illinois,Accredited
Shawnee Community College,"8364 Shawnee College Road Ullin, Illinois 62992 ",Associate,Illinois,Accredited
Shawnee Community College,"8364 Shawnee College Road Ullin, Illinois 62992 United States",Practical,Illinois,Accredited
South Suburban College,"15800 South State Street South Holland, Illinois 60473 USA",Associate,Illinois,Accredited
Southeastern Illinois College,"3575 College Drive Harrisburg, Illinois 62946 ",Associate,Illinois,Accredited
Southwestern Illinois College,"2500 Carlyle Avenue Belleville, Illinois 62221-5899 ",Associate,Illinois,Accredited
St. John’s College,"729 East Carpenter Street Springfield, Illinois 62702-5321 United States",Baccalaureate,Illinois,Accredited
St. John’s College,"729 East Carpenter Street Springfield, Illinois 62702-5321 United States",Master’s,Illinois,Accredited
St. John’s College,"729 East Carpenter Street Springfield, Illinois 62702 USA",Clinical Doctorate,Illinois,Accredited
Triton College,"2000 Fifth Avenue River Grove, Illinois 60171 ",Associate,Illinois,Accredited
Waubonsee Community College,"2060 Ogden Avenue Aurora, Illinois 60504 United States",Associate,Illinois,Accredited
Bethel University,"1001 Bethel Circle Mishawaka, Indiana 46545 ",Associate,Indiana,Accredited
Bethel University,"1001 Bethel Circle Mishawaka, Indiana 46545 ",Baccalaureate,Indiana,Accredited
Bethel University,"1001 Bethel Circle Mishawaka, Indiana 46545 United States",Master’s,Indiana,Accredited
Franciscan Health Lafayette,"1501 Hartford Street Lafayette, Indiana 47904-2198 United States",Diploma,Indiana,Accredited
Indiana State University,"401 North 4th Street Terre Haute, Indiana 47809 ",Baccalaureate,Indiana,Accredited
Indiana State University,"401 North 4th Street Terre Haute, Indiana 47809 ",Master’s/Post-Master’s Certificate,Indiana,Accredited
Indiana State University,"401 North 4th Street Terre Haute, Indiana 47809 United States",Clinical Doctorate,Indiana,Accredited
Indiana University East,"2325 Chester Boulevard Richmond, Indiana 47374-1220 ",Baccalaureate,Indiana,Accredited
Indiana University East,"2325 Chester Boulevard Richmond, Indiana 47374-1220 ",Master’s,Indiana,Accredited
Indiana University Kokomo,"2300 South Washington Street Kokomo, Indiana 46904-9003 ",Master’s,Indiana,Accredited
Indiana University Northwest,"3400 Broadway Gary, Indiana 46408-1197 United States",Baccalaureate,Indiana,Accredited
Indiana University Northwest,"3400 Broadway Gary, Indiana 46408 United States",Master’s,Indiana,Accredited
Jersey College – Fort Wayne,"7836 West Jefferson Boulevard Fort Wayne, Indiana 46804 USA",Associate,Indiana,Accredited
Purdue University Northwest,"2200 169th Street Hammond, Indiana 46323-2094 ",Baccalaureate,Indiana,Accredited
Purdue University Northwest,"2200 169th Street Hammond, Indiana 46323-2094 ",Master’s/Post-Master’s Certificate,Indiana,Accredited
Purdue University Northwest,"2200 169th Street Hammond, Indiana 46323 USA",Clinical Doctorate,Indiana,Accredited
University of Evansville,"1800 Lincoln Avenue Evansville, Indiana 47722 United States",Baccalaureate,Indiana,Accredited
University of Saint Francis,"2701 Spring Street Fort Wayne, Indiana 46808 United States",Associate,Indiana,Accredited
Vincennes University,"1002 North First Street Vincennes, Indiana 47591 United States",Associate,Indiana,Accredited
Vincennes University,"1002 North First Street Vincennes, Indiana 47591 United States",Baccalaureate,Indiana,Accredited
Vincennes University,"1002 North First Street Vincennes, Indiana 47591 United States",Practical,Indiana,Accredited
Des Moines Area Community College,"2006 South Ankeny Boulevard, Bldg. 24 Ankeny, Iowa 50023 ",Associate,Iowa,Accredited
Iowa State University of Science and Technology,"2302 Osborn Drive, 220 MacKay Hall Ames, Iowa 50011 ",Baccalaureate,Iowa,Accredited
Mercy College of Health Sciences,"928 6th Avenue Des Moines, Iowa 50309-1239 United States",Associate,Iowa,Accredited
North Iowa Area Community College,"500 College Drive Mason City, Iowa 50401 ",Associate,Iowa,Accredited
St. Luke’s College,"2800 Pierce Street Sioux City, Iowa 51104 ",Associate,Iowa,Accredited
Western Iowa Tech Community College,"4647 Stone Avenue, PO Box 5199 Sioux City, Iowa 51102-5199 United States",Practical,Iowa,Accredited
Western Iowa Tech Community College,"4647 Stone AvenuePO Box 5199 Sioux City, Iowa 51102 United States",Associate,Iowa,Accredited
Barton County Community College,"245 NE 30th Road Great Bend, Kansas 67530-9251 ",Associate,Kansas,Accredited
Butler County Community College,"901 South Haverhill Road El Dorado, Kansas 67042 United States",Associate,Kansas,Accredited
Cloud County Community College,"2221 Campus Drive Concordia, Kansas 66901 United States",Associate,Kansas,Accredited
Colby Community College,"1255 South Range Colby, Kansas 67701 United States",Associate,Kansas,Accredited
Dodge City Community College,"2501 North 14th Avenue Dodge City, Kansas 67801 ",Associate,Kansas,Accredited
Emporia State University,"1127 Chestnut Street Emporia, Kansas 66801-2523 United States",Baccalaureate,Kansas,Accredited
Emporia State University,"1127 Chestnut Street Emporia, Kansas 66801 United States",Master’s,Kansas,Accredited
Fort Scott Community College,"902 Horton Street Fort Scott, Kansas 66701-3140 United States",Associate,Kansas,Accredited
Garden City Community College,"801 Campus Drive Garden City, Kansas 67846 United States",Associate,Kansas,Accredited
Highland Community College,"1501 West Riley Street Atchison, Kansas 66002 ",Associate,Kansas,Accredited
Hutchinson Community College,"815 North Walnut, Davis Hall Hutchinson, Kansas 67501 United States",Associate,Kansas,Accredited
Johnson County Community College,"12345 College Boulevard Overland Park, Kansas 66210-1299 United States",Associate,Kansas,Accredited
Kansas City Kansas Community College,"7250 State Avenue Kansas City, Kansas 66112 ",Associate,Kansas,Accredited
Labette Community College,"200 South 14th Street Parsons, Kansas 67357-4299 ",Associate,Kansas,Accredited
Manhattan Area Technical College,"3136 Dickens Avenue Manhattan, Kansas 66503-2499 ",Associate,Kansas,Accredited
Neosho County Community College,"800 West 14th Street Chanute, Kansas 66720-2699 United States",Associate,Kansas,Accredited
North Central Kansas Technical College,"2205 Wheatland Avenue Hays, Kansas 67601-4600 ",Associate,Kansas,Accredited
Rasmussen University – Overland Park,"11600 College Boulevard Overland Park, Kansas 66210 United States",Associate,Kansas,Accredited
Seward County Community College,"1801 North Kansas, PO Box 1137 Liberal, Kansas 67905-1137 ",Associate,Kansas,Accredited
Ashland Community & Technical College,"1400 College Drive Ashland, Kentucky 41101 United States",Associate,Kentucky,Accredited
Bluegrass Community & Technical College,"164 Opportunity Way, Building M Lexington, Kentucky 40511 ",Associate,Kentucky,Accredited
Campbellsville University,"1 University Drive, UPO 800 Campbellsville, Kentucky 42718 ",Baccalaureate,Kentucky,Accredited
Campbellsville University,"1 University Drive UPO 800 Campbellsville, Kentucky 42718 ",Master’s,Kentucky,Accredited
Eastern Kentucky University,"223 Rowlett Building, 521 Lancaster Avenue Richmond, Kentucky 40475-3102 United States",Associate,Kentucky,Accredited
Elizabethtown Community & Technical College,"600 College Street Road Elizabethtown, Kentucky 42701 United States",Associate,Kentucky,Accredited
Frontier Nursing University,"2050 Lexington Road Versailles, Kentucky 40383 ",Clinical Doctorate,Kentucky,Accredited
Frontier Nursing University,"2050 Lexington Road Versailles, Kentucky 40383 United States",Master’s/Post-Master’s Certificate,Kentucky,Accredited
Galen College of Nursing – Louisville,"3050 Terra Crossing Boulevard Lousville, Kentucky 40245 United States",Associate,Kentucky,Accredited
Galen College of Nursing – Louisville,"3050 Terra Crossing Boulevard Louisville, Kentucky 40245 ",Master’s,Kentucky,Accredited
Henderson Community College,"2660 South Green Street Henderson, Kentucky 42420 ",Associate,Kentucky,Accredited
Hopkinsville Community College,"720 North Drive, PO Box 2100 Hopkinsville, Kentucky 42241-2100 ",Associate,Kentucky,Accredited
Jefferson Community & Technical College,"109 East Broadway Louisville, Kentucky 40202 ",Associate,Kentucky,Accredited
Kentucky State University,"400 East Main Street Frankfort, Kentucky 40601 United States",Associate,Kentucky,Accredited
Kentucky State University,"400 East Main Street Frankfort, Kentucky 40601 ",Baccalaureate,Kentucky,Accredited
Kentucky State University,"400 East Main Street Frankfort, Kentucky 40601 United States",Clinical Doctorate,Kentucky,Accredited
Madisonville Community College,"750 North Laffoon Drive Madisonville, Kentucky 42431 ",Associate,Kentucky,Accredited
Midway University,"512 East Stephens Street Midway, Kentucky 40347 ",Associate,Kentucky,Accredited
Midway University,"512 East Stephens Street Midway, Kentucky 40347 ",Baccalaureate,Kentucky,Accredited
Midway University,"512 East Stephens Street Midway, Kentucky 40347 ",Master’s,Kentucky,Accredited
Morehead State University,"201 N, Center for Health Education and Research Building Morehead, Kentucky 40351 ",Associate,Kentucky,Accredited
Somerset Community College,"808 Monticello Street Somerset, Kentucky 42501 ",Associate,Kentucky,Accredited
Southeast Kentucky Community and Technical College,"700 College Road Cumberland, Kentucky 40823 United States",Associate,Kentucky,Accredited
Thomas More University,"196 Barnwood Drive Edgewood, Kentucky 41017-3495 ",Baccalaureate,Kentucky,Accredited
University of Pikeville,"147 Sycamore Street Pikeville, Kentucky 41501 United States",Baccalaureate,Kentucky,Accredited
University of the Cumberlands,"6076 College Station Drive Williamsburg, Kentucky 40769 United States",Associate,Kentucky,Accredited
West Kentucky Community and Technical College,"4810 Alben Barkley Drive Paducah, Kentucky 42001 United States",Associate,Kentucky,Accredited
West Kentucky Community and Technical College,"4810 Alben Barkley Drive Paducah, Kentucky 42001 United States",Practical,Kentucky,Accredited
Western Kentucky University,"2355 Nashville Road Bowling Green, Kentucky 42101-3576 United States",Associate,Kentucky,Accredited
Baton Rouge Community College,"555 Julia Street Baton Rouge, Louisiana 70802 United States",Associate,Louisiana,Accredited
Baton Rouge General Medical Center,"3616 North Boulevard Baton Rouge, Louisiana 70806 ",Diploma,Louisiana,Accredited
Bossier Parish Community College,"6220 East Texas Street Bossier City, Louisiana 71111 ",Associate,Louisiana,Accredited
Delgado Community College,"615 City Park Avenue New Orleans, Louisiana 70119 ",Associate,Louisiana,Accredited
Dillard University,"Professional Schools Building, Suite 102, 2601 Gentilly Boulevard New Orleans, Louisiana 70122 ",Baccalaureate,Louisiana,Accredited
Fletcher Technical Community College,"1407 Highway 311 Schriever, Louisiana 70395 ",Practical,Louisiana,Accredited
Fletcher Technical Community College,"1407 Highway 311 Schriever, Louisiana 70395 ",Associate,Louisiana,Accredited
Franciscan Missionaries of Our Lady University,"7500 Hennessy Boulevard Baton Rouge, Louisiana 70808 United States",Baccalaureate,Louisiana,Accredited
Franciscan Missionaries of Our Lady University,"7500 Hennessy Boulevard Baton Rouge, Louisiana 70808 ",Master’s/Post-Master’s Certificate,Louisiana,Accredited
Grambling State University,"GSU Box 4272 Grambling, Louisiana 71245 ",Master’s/Post-Master’s Certificate,Louisiana,Accredited
Louisiana Delta Community College,"7500 Millhaven Road Monroe, Louisiana 71203 United States",Associate,Louisiana,Accredited
Louisiana State University at Alexandria,"8100 Highway 71 South, Room 128B Alexandria, Louisiana 71302 ",Associate,Louisiana,Accredited
Louisiana State University at Alexandria,"8100 Highway 71 South, Room 128B Alexandria, Louisiana 71302 ",Baccalaureate,Louisiana,Accredited
Louisiana State University at Eunice,"2048 Johnson Highway Eunice, Louisiana 70535 ",Associate,Louisiana,Accredited
Louisiana Tech University,"P.O. Box 3152, George T. Madison Hall 139 Ruston, Louisiana 71272 ",Associate,Louisiana,Accredited
Northwestern State University of Louisiana,"1800 Line Avenue Shreveport, Louisiana 71101-4653 ",Associate,Louisiana,Accredited
South Louisiana Community College,"1101 Bertrand Drive Lafayette, Louisiana 70506 United States",Associate,Louisiana,Accredited
Southern University at Shreveport,"610 Texas Street, Suite 500-D Shreveport, Louisiana 71107 ",Associate,Louisiana,Accredited
SOWELA Technical Community College,"3820 Sen. J. Bennett Johnston Avenue Lake Charles, Louisiana 70615 ",Associate,Louisiana,Accredited
University of Holy Cross,"4123 Woodland Drive New Orleans, Louisiana 70131 United States",Baccalaureate,Louisiana,Accredited
Central Maine Community College,"1250 Turner Street Auburn, Maine 04210-6498 ",Associate,Maine,Accredited
Eastern Maine Community College,"354 Hogan Road Bangor, Maine 04401-4280 United States",Associate,Maine,Accredited
Kennebec Valley Community College,"92 Western Avenue Fairfield, Maine 04937-1367 United States",Associate,Maine,Accredited
Maine College of Health Professions,"70 Middle Street Lewiston, Maine 04240 ",Associate,Maine,Accredited
Maine College of Health Professions,"70 Middle Street Lewistown, Maine 04240 ",Practical,Maine,Accredited
Northern Maine Community College,"33 Edgemont Drive Presque Isle, Maine 04769 ",Associate,Maine,Accredited
Southern Maine Community College,"2 Fort Road South Portland, Maine 04106-1698 ",Associate,Maine,Accredited
University of Maine at Augusta,"46 University Drive Augusta, Maine 04330 United States",Baccalaureate,Maine,Accredited
University of New England,"11 Hills Beach Road Biddeford, Maine 04005 United States",Baccalaureate,Maine,Accredited
Allegany College of Maryland,"12401 Willowbrook Road, SE Cumberland, Maryland 21502 ",Associate,Maryland,Accredited
Anne Arundel Community College,"101 College Parkway Arnold, Maryland 21012-1895 ",Associate,Maryland,Accredited
